# sensor_id  dir_x  dir_y  dir_z  pos_x  pos_y  pos_z  face
82 -0.481282 0.876566 -0.000817289 -31.3735 56.4304 24.6497 0
83 -0.481335 0.876537 -0.000817285 -31.3779 56.4294 26.1566 0
84 -0.481389 0.876506 -0.00081728 -31.3825 56.4283 27.6635 0
85 -0.481443 0.876476 -0.000817275 -31.3869 56.4272 29.1704 0
86 -0.481498 0.876447 -0.000817272 -31.3914 56.4261 30.6773 0
87 -0.481552 0.876417 -0.000817267 -31.3958 56.4251 32.1842 0
88 -0.500642 0.865655 -0.000825693 -32.5382 55.7199 -32.6161 0
89 -0.500695 0.865623 -0.000825689 -32.5426 55.7187 -31.1092 0
90 -0.500749 0.865592 -0.000825684 -32.5471 55.7177 -29.6023 0
91 -0.500802 0.865561 -0.000825679 -32.5515 55.7165 -28.0954 0
92 -0.500856 0.865531 -0.000825675 -32.556 55.7155 -26.5885 0
93 -0.500911 0.865499 -0.000825671 -32.5603 55.7144 -25.0816 0
94 -0.500964 0.865468 -0.000825667 -32.5647 55.7132 -23.5747 0
95 -0.501017 0.865437 -0.000825662 -32.5692 55.7121 -22.0678 0
96 -0.50107 0.865406 -0.000825658 -32.5736 55.7109 -20.5609 0
97 -0.501124 0.865375 -0.000825654 -32.578 55.7098 -19.054 0
98 -0.501177 0.865344 -0.000825649 -32.5824 55.7087 -17.5471 0
99 -0.501231 0.865313 -0.000825644 -32.587 55.7076 -16.0402 0
100 -0.501285 0.865282 -0.00082564 -32.5914 55.7065 -14.5333 0
101 -0.501338 0.865251 -0.000825636 -32.5958 55.7053 -13.0264 0
102 -0.501392 0.86522 -0.000825631 -32.6002 55.7042 -11.5195 0
103 -0.501446 0.86519 -0.000825627 -32.6047 55.703 -10.0126 0
104 -0.5015 0.865157 -0.000825623 -32.6091 55.7019 -8.50568 0
105 -0.501554 0.865126 -0.000825618 -32.6134 55.7007 -6.99877 0
106 -0.501607 0.865095 -0.000825613 -32.6179 55.6996 -5.49187 0
107 -0.50166 0.865064 -0.000825609 -32.6223 55.6986 -3.98497 0
108 -0.501713 0.865033 -0.000825605 -32.6267 55.6974 -2.47806 0
109 -0.501767 0.865003 -0.000825601 -32.6311 55.6963 -0.971163 0
110 -0.50182 0.864972 -0.000825597 -32.6356 55.6951 0.535739 0
111 -0.501874 0.86494 -0.000825592 -32.64 55.694 2.04264 0
112 -0.501927 0.864908 -0.000825587 -32.6445 55.6928 3.54954 0
113 -0.501982 0.864877 -0.000825582 -32.6489 55.6917 5.05644 0
114 -0.502036 0.864847 -0.000825579 -32.6533 55.6906 6.56335 0
115 -0.502089 0.864816 -0.000825574 -32.6578 55.6895 8.07025 0
116 -0.502143 0.864785 -0.00082657 -32.6621 55.6884 9.57715 0
117 -0.502196 0.864754 -0.000826566 -32.6666 55.6872 11.084 0
118 -0.50225 0.864723 -0.000826561 -32.671 55.6862 12.5909 0
119 -0.502303 0.86469 -0.000826556 -32.6755 55.685 14.0978 0
120 -0.502356 0.86466 -0.000826552 -32.6798 55.6839 15.6047 0
121 -0.502409 0.864629 -0.000826548 -32.6843 55.6828 17.1116 0
122 -0.502463 0.864598 -0.000826544 -32.6887 55.6816 18.6185 0
123 -0.502517 0.864567 -0.000826539 -32.6931 55.6805 20.1254 0
124 -0.502571 0.864536 -0.000826535 -32.6975 55.6793 21.6323 0
125 -0.502625 0.864504 -0.000826529 -32.702 55.6782 23.1392 0
126 -0.502678 0.864473 -0.000826526 -32.7065 55.677 24.6461 0
127 -0.502732 0.864442 -0.000826521 -32.7108 55.6759 26.153 0
128 -0.502785 0.864411 -0.000826517 -32.7153 55.6748 27.66 0
129 -0.502839 0.86438 -0.000826513 -32.7197 55.6736 29.1669 0
130 -0.502892 0.864348 -0.000826508 -32.7241 55.6725 30.6738 0
131 -0.502946 0.864318 -0.000826505 -32.7285 55.6713 32.1807 0
132 -0.521765 0.853089 -0.000833969 -33.8541 54.9372 -32.6196 0
133 -0.521818 0.853056 -0.000833965 -33.8584 54.936 -31.1127 0
134 -0.52187 0.853025 -0.000833961 -33.8628 54.9348 -29.6058 0
135 -0.521923 0.852993 -0.000833957 -33.8672 54.9335 -28.0989 0
136 -0.521976 0.85296 -0.000833952 -33.8716 54.9324 -26.592 0
137 -0.522029 0.852927 -0.000833948 -33.8759 54.9311 -25.0851 0
138 -0.522082 0.852894 -0.000833944 -33.8803 54.9299 -23.5782 0
139 -0.522134 0.852862 -0.000833939 -33.8847 54.9287 -22.0713 0
140 -0.522188 0.852831 -0.000833936 -33.8891 54.9275 -20.5644 0
141 -0.522241 0.852798 -0.000833932 -33.8934 54.9263 -19.0575 0
142 -0.522293 0.852766 -0.000833926 -33.8978 54.925 -17.5506 0
143 -0.522346 0.852733 -0.000833922 -33.9023 54.9239 -16.0437 0
144 -0.522398 0.852701 -0.000833918 -33.9066 54.9227 -14.5368 0
145 -0.522451 0.852669 -0.000833914 -33.911 54.9215 -13.0298 0
146 -0.522504 0.852636 -0.00083391 -33.9154 54.9204 -11.5229 0
147 -0.522557 0.852604 -0.000833906 -33.9198 54.9191 -10.0161 0
148 -0.52261 0.852571 -0.000833901 -33.9241 54.9179 -8.50918 0
149 -0.522663 0.852539 -0.000833897 -33.9285 54.9166 -7.00228 0
150 -0.522716 0.852507 -0.000833892 -33.9329 54.9155 -5.49539 0
151 -0.522769 0.852475 -0.000833888 -33.9373 54.9142 -3.98849 0
152 -0.522822 0.852442 -0.000834884 -33.9416 54.913 -2.48159 0
153 -0.522875 0.852409 -0.000834879 -33.9459 54.9119 -0.974679 0
154 -0.522926 0.852377 -0.000834875 -33.9504 54.9106 0.532224 0
155 -0.522979 0.852344 -0.000834871 -33.9548 54.9094 2.03913 0
